archive_edition_id,official_archive_url,edition_date_token,edition_date_token_current_status,relevant_to_development_cutoff,earliest_relevant_cutoff,latest_relevant_cutoff,already_retained_by_prior_capture,requested_official_release_date,requested_official_release_month_confirmation,note
WDI_2010_04,https://databank.worldbank.org/data/download/archive/WDI_2010_04.zip,2010-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2012_12,https://databank.worldbank.org/data/download/archive/WDI_excel_2012_12.zip,2012-12,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2013_04,https://databank.worldbank.org/data/download/archive/WDI_excel_2013_04.zip,2013-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2013_07,https://databank.worldbank.org/data/download/archive/WDI_excel_2013_07.zip,2013-07,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2013_10,https://databank.worldbank.org/data/download/archive/WDI_excel_2013_10.zip,2013-10,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2013_12,https://databank.worldbank.org/data/download/archive/WDI_excel_2013_12.zip,2013-12,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2014_04,https://databank.worldbank.org/data/download/archive/WDI_excel_2014_04.zip,2014-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2014_05,https://databank.worldbank.org/data/download/archive/WDI_excel_2014_05.zip,2014-05,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2014_07,https://databank.worldbank.org/data/download/archive/WDI_excel_2014_07.zip,2014-07,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2014_09,https://databank.worldbank.org/data/download/archive/WDI_excel_2014_09.zip,2014-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2014_11,https://databank.worldbank.org/data/download/archive/WDI_excel_2014_11.zip,2014-11,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2014_12,https://databank.worldbank.org/data/download/archive/WDI_excel_2014_12.zip,2014-12,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_01,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_01.zip,2015-01,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_03,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_03.zip,2015-03,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_04,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_04.zip,2015-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_07,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_07.zip,2015-07,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_09,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_09.zip,2015-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_10,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_10.zip,2015-10,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2015_12,https://databank.worldbank.org/data/download/archive/WDI_excel_2015_12.zip,2015-12,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_02,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_02.zip,2016-02,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_04,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_04.zip,2016-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_06,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_06.zip,2016-06,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_07,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_07.zip,2016-07,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_08,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_08.zip,2016-08,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_10,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_10.zip,2016-10,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_11,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_11.zip,2016-11,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2016_12,https://databank.worldbank.org/data/download/archive/WDI_excel_2016_12.zip,2016-12,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_03,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_03.zip,2017-03,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_04,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_04.zip,2017-04,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_05,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_05.zip,2017-05,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_06,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_06.zip,2017-06,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_07,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_07.zip,2017-07,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_08,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_08.zip,2017-08,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_09_19,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_09_19.zip,2017-09-19,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_10_30,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_10_30.zip,2017-10-30,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_11_21,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_11_21.zip,2017-11-21,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2017_12_22,https://databank.worldbank.org/data/download/archive/WDI_excel_2017_12_22.zip,2017-12-22,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_02_22,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_02_22.zip,2018-02-22,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_04_18,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_04_18.zip,2018-04-18,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_05_21,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_05_21.zip,2018-05-21,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_07_27,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_07_27.zip,2018-07-27,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_08_28,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_08_28.zip,2018-08-28,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_09_21,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_09_21.zip,2018-09-21,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_10_18,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_10_18.zip,2018-10-18,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2018_11_14,https://databank.worldbank.org/data/download/archive/WDI_excel_2018_11_14.zip,2018-11-14,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_01_30,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_01_30.zip,2019-01-30,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_03_21,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_03_21.zip,2019-03-21,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_04_24,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_04_24.zip,2019-04-24,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_06_28,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_06_28.zip,2019-06-28,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_09_24,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_09_24.zip,2019-09-24,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_10_28,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_10_28.zip,2019-10-28,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2019_12_20,https://databank.worldbank.org/data/download/archive/WDI_excel_2019_12_20.zip,2019-12-20,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_02_28,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_02_28.zip,2020-02-28,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_03_19,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_03_19.zip,2020-03-19,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_04_09,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_04_09.zip,2020-04-09,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_05_29,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_05_29.zip,2020-05-29,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_07_01,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_07_01.zip,2020-07-01,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,True,2013-10-22,2020-07-19,True,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_08_19,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_08_19.zip,2020-08-19,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_09_16,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_09_16.zip,2020-09-16,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_10_16,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_10_16.zip,2020-10-16,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2020_12_16,https://databank.worldbank.org/data/download/archive/WDI_excel_2020_12_16.zip,2020-12-16,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_02_17,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_02_17.zip,2021-02-17,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_03_19,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_03_19.zip,2021-03-19,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_04_26,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_04_26.zip,2021-04-26,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_05_25,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_05_25.zip,2021-05-25,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_07_30,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_07_30.zip,2021-07-30,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_09_15,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_09_15.zip,2021-09-15,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_10_28,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_10_28.zip,2021-10-28,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_11_23,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_11_23.zip,2021-11-23,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2021_12_16,https://databank.worldbank.org/data/download/archive/WDI_excel_2021_12_16.zip,2021-12-16,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2022_02_15,https://databank.worldbank.org/data/download/archive/WDI_excel_2022_02_15.zip,2022-02-15,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2022_04_27,https://databank.worldbank.org/data/download/archive/WDI_excel_2022_04_27.zip,2022-04-27,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2022_06_30,https://databank.worldbank.org/data/download/archive/WDI_excel_2022_06_30.zip,2022-06-30,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2022_07_20,https://databank.worldbank.org/data/download/archive/WDI_excel_2022_07_20.zip,2022-07-20,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2022_09_16,https://databank.worldbank.org/data/download/archive/WDI_excel_2022_09_16.zip,2022-09-16,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2022_12_22,https://databank.worldbank.org/data/download/archive/WDI_excel_2022_12_22.zip,2022-12-22,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_03_03,https://databank.worldbank.org/data/download/archive/WDI_excel_2023_03_03.zip,2023-03-03,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_05_11,https://databank.worldbank.org/data/download/archive/WDI_excel_2023_05_11.zip,2023-05-11,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_06_29,https://databank.worldbank.org/data/download/archive/WDI_excel_2023_06_29.zip,2023-06-29,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_07_25,https://databank.worldbank.org/data/download/archive/WDI_excel_2023_07_25.zip,2023-07-25,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_09_27,https://databank.worldbank.org/data/download/archive/WDI_excel_2023_09_27.zip,2023-09-27,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_10_26,https://databank.worldbank.org/data/download/archive/WDI_excel_2023_10_26.zip,2023-10-26,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
WDI_2023_12_18,https://databank.worldbank.org/data/download/Archive/WDI_excel_2023_12_18.zip,2023-12-18,UNVERIFIED_TOKEN_NOT_ACCEPTED_AS_RELEASE_DATE,False,,,False,REQUESTED,REQUESTED,candidate relevance reflects unverified token ordering only and is not a release-date claim
