predictor_row_key_t,target_row_key_t_plus_1,ticker,fiscal_year_t,target_year,temporal_partition,fold_membership,present_in_main_rule_a_primary,present_in_main_rule_b_listing_robustness,present_in_expanded_rule_a_company_scope_robustness,present_in_expanded_rule_b_combined_robustness,sample_membership_signature
تاپیکو|1397,تاپیکو|1398,تاپیکو,1397,1398,development,fold2_validation,false,false,true,true,part3+part4
تاپیکو|1398,تاپیکو|1399,تاپیکو,1398,1399,development,fold2_validation,false,false,true,true,part3+part4
تاپیکو|1399,تاپیکو|1400,تاپیکو,1399,1400,locked_final_test,locked_final_test,false,false,true,true,part3+part4
تاپیکو|1400,تاپیکو|1401,تاپیکو,1400,1401,locked_final_test,locked_final_test,false,false,true,true,part3+part4
تاپیکو|1401,تاپیکو|1402,تاپیکو,1401,1402,locked_final_test,locked_final_test,false,false,true,true,part3+part4
تپمپی|1393,تپمپی|1394,تپمپی,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
تپمپی|1394,تپمپی|1395,تپمپی,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
تپمپی|1395,تپمپی|1396,تپمپی,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
تپمپی|1396,تپمپی|1397,تپمپی,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
تپمپی|1397,تپمپی|1398,تپمپی,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
تپمپی|1398,تپمپی|1399,تپمپی,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
تپمپی|1399,تپمپی|1400,تپمپی,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
تپمپی|1400,تپمپی|1401,تپمپی,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
تپمپی|1401,تپمپی|1402,تپمپی,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
تکمبا|1393,تکمبا|1394,تکمبا,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
تکمبا|1394,تکمبا|1395,تکمبا,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
تکمبا|1395,تکمبا|1396,تکمبا,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
تکمبا|1396,تکمبا|1397,تکمبا,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
تکمبا|1397,تکمبا|1398,تکمبا,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
تکمبا|1398,تکمبا|1399,تکمبا,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
تکمبا|1399,تکمبا|1400,تکمبا,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
تکمبا|1400,تکمبا|1401,تکمبا,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
تکمبا|1401,تکمبا|1402,تکمبا,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ثشرق|1393,ثشرق|1394,ثشرق,1393,1394,development,fold1_train|fold2_train,true,false,true,false,primary+part3
ثشرق|1394,ثشرق|1395,ثشرق,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ثشرق|1395,ثشرق|1396,ثشرق,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
ثشرق|1396,ثشرق|1397,ثشرق,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
ثشرق|1397,ثشرق|1398,ثشرق,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
ثشرق|1398,ثشرق|1399,ثشرق,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
ثشرق|1399,ثشرق|1400,ثشرق,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ثشرق|1400,ثشرق|1401,ثشرق,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ثشرق|1401,ثشرق|1402,ثشرق,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ثنوسا|1392,ثنوسا|1393,ثنوسا,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ثنوسا|1393,ثنوسا|1394,ثنوسا,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ثنوسا|1394,ثنوسا|1395,ثنوسا,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ثنوسا|1395,ثنوسا|1396,ثنوسا,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
ثنوسا|1396,ثنوسا|1397,ثنوسا,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
ثنوسا|1397,ثنوسا|1398,ثنوسا,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
ثنوسا|1398,ثنوسا|1399,ثنوسا,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
ثنوسا|1399,ثنوسا|1400,ثنوسا,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ثنوسا|1400,ثنوسا|1401,ثنوسا,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ثنوسا|1401,ثنوسا|1402,ثنوسا,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
جم پیلن|1398,جم پیلن|1399,جم پیلن,1398,1399,development,fold2_validation,true,false,true,false,primary+part3
جم پیلن|1399,جم پیلن|1400,جم پیلن,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
جم پیلن|1400,جم پیلن|1401,جم پیلن,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
جم پیلن|1401,جم پیلن|1402,جم پیلن,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
جم|1394,جم|1395,جم,1394,1395,development,fold1_train|fold2_train,true,false,true,false,primary+part3
جم|1395,جم|1396,جم,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
جم|1396,جم|1397,جم,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
جم|1397,جم|1398,جم,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
جم|1398,جم|1399,جم,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
جم|1399,جم|1400,جم,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
جم|1400,جم|1401,جم,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
جم|1401,جم|1402,جم,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
حپترو|1392,حپترو|1393,حپترو,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
حپترو|1393,حپترو|1394,حپترو,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
حپترو|1394,حپترو|1395,حپترو,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
حپترو|1395,حپترو|1396,حپترو,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
حپترو|1396,حپترو|1397,حپترو,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
حپترو|1397,حپترو|1398,حپترو,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
حپترو|1398,حپترو|1399,حپترو,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
حپترو|1399,حپترو|1400,حپترو,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
حپترو|1400,حپترو|1401,حپترو,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
حپترو|1401,حپترو|1402,حپترو,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
حکشتی|1392,حکشتی|1393,حکشتی,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
حکشتی|1393,حکشتی|1394,حکشتی,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
حکشتی|1394,حکشتی|1395,حکشتی,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
حکشتی|1395,حکشتی|1396,حکشتی,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
حکشتی|1396,حکشتی|1397,حکشتی,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
حکشتی|1397,حکشتی|1398,حکشتی,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
حکشتی|1398,حکشتی|1399,حکشتی,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
حکشتی|1399,حکشتی|1400,حکشتی,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
حکشتی|1400,حکشتی|1401,حکشتی,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
حکشتی|1401,حکشتی|1402,حکشتی,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خاذین|1392,خاذین|1393,خاذین,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خاذین|1393,خاذین|1394,خاذین,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خاذین|1394,خاذین|1395,خاذین,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خاذین|1395,خاذین|1396,خاذین,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خاذین|1396,خاذین|1397,خاذین,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خاذین|1397,خاذین|1398,خاذین,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خاذین|1398,خاذین|1399,خاذین,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خاذین|1399,خاذین|1400,خاذین,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خاذین|1400,خاذین|1401,خاذین,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خاذین|1401,خاذین|1402,خاذین,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خبهمن|1392,خبهمن|1393,خبهمن,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خبهمن|1393,خبهمن|1394,خبهمن,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خبهمن|1394,خبهمن|1395,خبهمن,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خبهمن|1395,خبهمن|1396,خبهمن,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خبهمن|1396,خبهمن|1397,خبهمن,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خبهمن|1397,خبهمن|1398,خبهمن,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خبهمن|1398,خبهمن|1399,خبهمن,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خبهمن|1399,خبهمن|1400,خبهمن,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خبهمن|1400,خبهمن|1401,خبهمن,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خبهمن|1401,خبهمن|1402,خبهمن,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ختوقا|1392,ختوقا|1393,ختوقا,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ختوقا|1393,ختوقا|1394,ختوقا,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ختوقا|1394,ختوقا|1395,ختوقا,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
ختوقا|1395,ختوقا|1396,ختوقا,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
ختوقا|1396,ختوقا|1397,ختوقا,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
ختوقا|1397,ختوقا|1398,ختوقا,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
ختوقا|1398,ختوقا|1399,ختوقا,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
ختوقا|1399,ختوقا|1400,ختوقا,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ختوقا|1400,ختوقا|1401,ختوقا,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
ختوقا|1401,ختوقا|1402,ختوقا,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خرینگ|1392,خرینگ|1393,خرینگ,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خرینگ|1393,خرینگ|1394,خرینگ,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خرینگ|1394,خرینگ|1395,خرینگ,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خرینگ|1395,خرینگ|1396,خرینگ,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خرینگ|1396,خرینگ|1397,خرینگ,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خرینگ|1397,خرینگ|1398,خرینگ,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خرینگ|1398,خرینگ|1399,خرینگ,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خرینگ|1399,خرینگ|1400,خرینگ,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خرینگ|1400,خرینگ|1401,خرینگ,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خرینگ|1401,خرینگ|1402,خرینگ,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خمحور|1392,خمحور|1393,خمحور,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خمحور|1393,خمحور|1394,خمحور,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خمحور|1394,خمحور|1395,خمحور,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خمحور|1395,خمحور|1396,خمحور,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خمحور|1396,خمحور|1397,خمحور,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خمحور|1397,خمحور|1398,خمحور,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خمحور|1398,خمحور|1399,خمحور,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خمحور|1399,خمحور|1400,خمحور,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خمحور|1400,خمحور|1401,خمحور,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خمحور|1401,خمحور|1402,خمحور,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خمهر|1392,خمهر|1393,خمهر,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خمهر|1393,خمهر|1394,خمهر,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خمهر|1394,خمهر|1395,خمهر,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خمهر|1395,خمهر|1396,خمهر,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خمهر|1396,خمهر|1397,خمهر,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خمهر|1397,خمهر|1398,خمهر,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خمهر|1398,خمهر|1399,خمهر,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خمهر|1399,خمهر|1400,خمهر,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خمهر|1400,خمهر|1401,خمهر,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خمهر|1401,خمهر|1402,خمهر,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خنصیر|1392,خنصیر|1393,خنصیر,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خنصیر|1393,خنصیر|1394,خنصیر,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خنصیر|1394,خنصیر|1395,خنصیر,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خنصیر|1395,خنصیر|1396,خنصیر,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خنصیر|1396,خنصیر|1397,خنصیر,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خنصیر|1397,خنصیر|1398,خنصیر,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خنصیر|1398,خنصیر|1399,خنصیر,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خنصیر|1399,خنصیر|1400,خنصیر,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خنصیر|1400,خنصیر|1401,خنصیر,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خنصیر|1401,خنصیر|1402,خنصیر,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خوساز|1392,خوساز|1393,خوساز,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خوساز|1393,خوساز|1394,خوساز,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خوساز|1394,خوساز|1395,خوساز,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خوساز|1395,خوساز|1396,خوساز,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خوساز|1396,خوساز|1397,خوساز,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خوساز|1397,خوساز|1398,خوساز,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خوساز|1398,خوساز|1399,خوساز,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خوساز|1399,خوساز|1400,خوساز,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خوساز|1400,خوساز|1401,خوساز,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خوساز|1401,خوساز|1402,خوساز,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
خچرخش|1392,خچرخش|1393,خچرخش,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خچرخش|1393,خچرخش|1394,خچرخش,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خچرخش|1394,خچرخش|1395,خچرخش,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
خچرخش|1395,خچرخش|1396,خچرخش,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خچرخش|1396,خچرخش|1397,خچرخش,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
خچرخش|1397,خچرخش|1398,خچرخش,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خچرخش|1398,خچرخش|1399,خچرخش,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
خچرخش|1399,خچرخش|1400,خچرخش,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
