ticker,predictor_year,target_year,split,cv_val_fold,target_next_year,row_key
فخوز,1399,1400,unused_no_positive_post_test,,0,فخوز|1399
فخوز,1400,1401,unused_no_positive_post_test,,0,فخوز|1400
فخوز,1401,1402,unused_no_positive_post_test,,0,فخوز|1401
فملی,1399,1400,unused_no_positive_post_test,,0,فملی|1399
فملی,1400,1401,unused_no_positive_post_test,,0,فملی|1400
فملی,1401,1402,unused_no_positive_post_test,,0,فملی|1401
غسالم,1392,1393,dev,,0,غسالم|1392
غسالم,1393,1394,dev,1,0,غسالم|1393
غسالم,1394,1395,dev,2,0,غسالم|1394
غسالم,1395,1396,dev,3,0,غسالم|1395
غسالم,1396,1397,test,,0,غسالم|1396
غسالم,1397,1398,test,,0,غسالم|1397
غسالم,1398,1399,unused_no_positive_post_test,,0,غسالم|1398
غسالم,1399,1400,unused_no_positive_post_test,,0,غسالم|1399
غسالم,1400,1401,unused_no_positive_post_test,,0,غسالم|1400
غسالم,1401,1402,unused_no_positive_post_test,,0,غسالم|1401
فمراد,1399,1400,unused_no_positive_post_test,,0,فمراد|1399
فمراد,1400,1401,unused_no_positive_post_test,,0,فمراد|1400
فمراد,1401,1402,unused_no_positive_post_test,,0,فمراد|1401
فنورد,1399,1400,unused_no_positive_post_test,,0,فنورد|1399
فنورد,1400,1401,unused_no_positive_post_test,,0,فنورد|1400
فنورد,1401,1402,unused_no_positive_post_test,,0,فنورد|1401
فسرب,1399,1400,unused_no_positive_post_test,,0,فسرب|1399
فسرب,1400,1401,unused_no_positive_post_test,,0,فسرب|1400
فسرب,1401,1402,unused_no_positive_post_test,,0,فسرب|1401
فپنتا,1399,1400,unused_no_positive_post_test,,0,فپنتا|1399
فپنتا,1400,1401,unused_no_positive_post_test,,0,فپنتا|1400
فپنتا,1401,1402,unused_no_positive_post_test,,0,فپنتا|1401
فولاژ,1399,1400,unused_no_positive_post_test,,0,فولاژ|1399
فولاژ,1400,1401,unused_no_positive_post_test,,0,فولاژ|1400
فولاژ,1401,1402,unused_no_positive_post_test,,0,فولاژ|1401
غبهنوش,1392,1393,dev,,1,غبهنوش|1392
غبهنوش,1393,1394,dev,1,0,غبهنوش|1393
غبهنوش,1394,1395,dev,2,0,غبهنوش|1394
غبهنوش,1395,1396,dev,3,0,غبهنوش|1395
غبهنوش,1396,1397,test,,0,غبهنوش|1396
غبهنوش,1397,1398,test,,0,غبهنوش|1397
غبهنوش,1398,1399,unused_no_positive_post_test,,0,غبهنوش|1398
غبهنوش,1399,1400,unused_no_positive_post_test,,0,غبهنوش|1399
غبهنوش,1400,1401,unused_no_positive_post_test,,0,غبهنوش|1400
غبهنوش,1401,1402,unused_no_positive_post_test,,0,غبهنوش|1401
غدام,1392,1393,dev,,0,غدام|1392
غدام,1393,1394,dev,1,0,غدام|1393
غدام,1394,1395,dev,2,0,غدام|1394
غدام,1395,1396,dev,3,0,غدام|1395
غدام,1396,1397,test,,0,غدام|1396
غدام,1397,1398,test,,0,غدام|1397
غدام,1398,1399,unused_no_positive_post_test,,0,غدام|1398
غدام,1399,1400,unused_no_positive_post_test,,0,غدام|1399
غدام,1400,1401,unused_no_positive_post_test,,0,غدام|1400
غدام,1401,1402,unused_no_positive_post_test,,0,غدام|1401
غگل,1392,1393,dev,,0,غگل|1392
غگل,1393,1394,dev,1,0,غگل|1393
غگل,1394,1395,dev,2,0,غگل|1394
غگل,1395,1396,dev,3,0,غگل|1395
غگل,1396,1397,test,,0,غگل|1396
غگل,1397,1398,test,,0,غگل|1397
غگل,1398,1399,unused_no_positive_post_test,,0,غگل|1398
غگل,1399,1400,unused_no_positive_post_test,,0,غگل|1399
غگل,1400,1401,unused_no_positive_post_test,,0,غگل|1400
غگل,1401,1402,unused_no_positive_post_test,,0,غگل|1401
غنوش,1392,1393,dev,,0,غنوش|1392
غنوش,1393,1394,dev,1,0,غنوش|1393
غنوش,1394,1395,dev,2,0,غنوش|1394
غنوش,1395,1396,dev,3,0,غنوش|1395
غنوش,1396,1397,test,,0,غنوش|1396
غنوش,1397,1398,test,,0,غنوش|1397
غنوش,1398,1399,unused_no_positive_post_test,,0,غنوش|1398
غنوش,1399,1400,unused_no_positive_post_test,,0,غنوش|1399
غنوش,1400,1401,unused_no_positive_post_test,,0,غنوش|1400
غنوش,1401,1402,unused_no_positive_post_test,,0,غنوش|1401
کفرا,1392,1393,dev,,0,کفرا|1392
کفرا,1393,1394,dev,1,0,کفرا|1393
کفرا,1394,1395,dev,2,0,کفرا|1394
کفرا,1395,1396,dev,3,0,کفرا|1395
کفرا,1396,1397,test,,0,کفرا|1396
کفرا,1397,1398,test,,0,کفرا|1397
کفرا,1398,1399,unused_no_positive_post_test,,0,کفرا|1398
کفرا,1399,1400,unused_no_positive_post_test,,0,کفرا|1399
کفرا,1400,1401,unused_no_positive_post_test,,0,کفرا|1400
کفرا,1401,1402,unused_no_positive_post_test,,0,کفرا|1401
غشهد,1392,1393,dev,,0,غشهد|1392
غشهد,1393,1394,dev,1,1,غشهد|1393
غشهد,1394,1395,dev,2,1,غشهد|1394
غشهد,1395,1396,dev,3,1,غشهد|1395
غشهد,1396,1397,test,,0,غشهد|1396
غشهد,1397,1398,test,,0,غشهد|1397
غشهد,1398,1399,unused_no_positive_post_test,,0,غشهد|1398
غشهد,1399,1400,unused_no_positive_post_test,,0,غشهد|1399
غشهد,1400,1401,unused_no_positive_post_test,,0,غشهد|1400
غشهد,1401,1402,unused_no_positive_post_test,,0,غشهد|1401
غشان,1392,1393,dev,,0,غشان|1392
غشان,1393,1394,dev,1,0,غشان|1393
غشان,1394,1395,dev,2,0,غشان|1394
غشان,1395,1396,dev,3,0,غشان|1395
غشان,1396,1397,test,,0,غشان|1396
غشان,1397,1398,test,,0,غشان|1397
غشان,1398,1399,unused_no_positive_post_test,,0,غشان|1398
غشان,1399,1400,unused_no_positive_post_test,,0,غشان|1399
غشان,1400,1401,unused_no_positive_post_test,,0,غشان|1400
غشان,1401,1402,unused_no_positive_post_test,,0,غشان|1401
حکشتی,1395,1396,dev,3,0,حکشتی|1395
حکشتی,1396,1397,test,,0,حکشتی|1396
حکشتی,1397,1398,test,,0,حکشتی|1397
حکشتی,1398,1399,unused_no_positive_post_test,,0,حکشتی|1398
حکشتی,1399,1400,unused_no_positive_post_test,,0,حکشتی|1399
حکشتی,1400,1401,unused_no_positive_post_test,,0,حکشتی|1400
حکشتی,1401,1402,unused_no_positive_post_test,,0,حکشتی|1401
همراه,1395,1396,dev,3,0,همراه|1395
همراه,1396,1397,test,,0,همراه|1396
همراه,1397,1398,test,,0,همراه|1397
همراه,1398,1399,unused_no_positive_post_test,,0,همراه|1398
همراه,1399,1400,unused_no_positive_post_test,,0,همراه|1399
همراه,1400,1401,unused_no_positive_post_test,,0,همراه|1400
همراه,1401,1402,unused_no_positive_post_test,,0,همراه|1401
حپترو,1394,1395,dev,2,0,حپترو|1394
حپترو,1395,1396,dev,3,0,حپترو|1395
حپترو,1396,1397,test,,0,حپترو|1396
حپترو,1397,1398,test,,0,حپترو|1397
حپترو,1398,1399,unused_no_positive_post_test,,0,حپترو|1398
حپترو,1399,1400,unused_no_positive_post_test,,0,حپترو|1399
حپترو,1400,1401,unused_no_positive_post_test,,0,حپترو|1400
حپترو,1401,1402,unused_no_positive_post_test,,0,حپترو|1401
های وب,1392,1393,dev,,0,های وب|1392
های وب,1393,1394,dev,1,0,های وب|1393
های وب,1394,1395,dev,2,0,های وب|1394
های وب,1395,1396,dev,3,0,های وب|1395
های وب,1396,1397,test,,0,های وب|1396
های وب,1397,1398,test,,0,های وب|1397
های وب,1398,1399,unused_no_positive_post_test,,0,های وب|1398
های وب,1399,1400,unused_no_positive_post_test,,0,های وب|1399
های وب,1400,1401,unused_no_positive_post_test,,0,های وب|1400
های وب,1401,1402,unused_no_positive_post_test,,0,های وب|1401
جم,1393,1394,dev,1,0,جم|1393
جم,1394,1395,dev,2,0,جم|1394
جم,1395,1396,dev,3,0,جم|1395
جم,1396,1397,test,,0,جم|1396
جم,1397,1398,test,,0,جم|1397
جم,1398,1399,unused_no_positive_post_test,,0,جم|1398
جم,1399,1400,unused_no_positive_post_test,,0,جم|1399
جم,1400,1401,unused_no_positive_post_test,,0,جم|1400
جم,1401,1402,unused_no_positive_post_test,,0,جم|1401
جم پیلن,1397,1398,test,,0,جم پیلن|1397
جم پیلن,1398,1399,unused_no_positive_post_test,,0,جم پیلن|1398
جم پیلن,1399,1400,unused_no_positive_post_test,,0,جم پیلن|1399
جم پیلن,1400,1401,unused_no_positive_post_test,,0,جم پیلن|1400
جم پیلن,1401,1402,unused_no_positive_post_test,,0,جم پیلن|1401
کفپارس,1392,1393,dev,,1,کفپارس|1392
کفپارس,1393,1394,dev,1,0,کفپارس|1393
کفپارس,1394,1395,dev,2,0,کفپارس|1394
کفپارس,1395,1396,dev,3,0,کفپارس|1395
کفپارس,1396,1397,test,,0,کفپارس|1396
کفپارس,1397,1398,test,,0,کفپارس|1397
کفپارس,1398,1399,unused_no_positive_post_test,,0,کفپارس|1398
کفپارس,1399,1400,unused_no_positive_post_test,,0,کفپارس|1399
کفپارس,1400,1401,unused_no_positive_post_test,,0,کفپارس|1400
کفپارس,1401,1402,unused_no_positive_post_test,,0,کفپارس|1401
کاوه,1399,1400,unused_no_positive_post_test,,0,کاوه|1399
کاوه,1400,1401,unused_no_positive_post_test,,0,کاوه|1400
کاوه,1401,1402,unused_no_positive_post_test,,0,کاوه|1401
کبافق,1392,1393,dev,,0,کبافق|1392
کبافق,1393,1394,dev,1,0,کبافق|1393
کبافق,1394,1395,dev,2,0,کبافق|1394
کبافق,1395,1396,dev,3,0,کبافق|1395
کبافق,1396,1397,test,,0,کبافق|1396
کبافق,1397,1398,test,,0,کبافق|1397
کبافق,1398,1399,unused_no_positive_post_test,,0,کبافق|1398
کبافق,1399,1400,unused_no_positive_post_test,,0,کبافق|1399
کبافق,1400,1401,unused_no_positive_post_test,,0,کبافق|1400
کبافق,1401,1402,unused_no_positive_post_test,,0,کبافق|1401
کگاز,1392,1393,dev,,0,کگاز|1392
کگاز,1393,1394,dev,1,0,کگاز|1393
کگاز,1394,1395,dev,2,1,کگاز|1394
کگاز,1395,1396,dev,3,0,کگاز|1395
کگاز,1396,1397,test,,0,کگاز|1396
کگاز,1397,1398,test,,0,کگاز|1397
کگاز,1398,1399,unused_no_positive_post_test,,0,کگاز|1398
کگاز,1399,1400,unused_no_positive_post_test,,0,کگاز|1399
کگاز,1400,1401,unused_no_positive_post_test,,0,کگاز|1400
کگاز,1401,1402,unused_no_positive_post_test,,0,کگاز|1401
کگل,1392,1393,dev,,0,کگل|1392
کگل,1393,1394,dev,1,0,کگل|1393
کگل,1394,1395,dev,2,0,کگل|1394
کگل,1395,1396,dev,3,0,کگل|1395
کگل,1396,1397,test,,0,کگل|1396
کگل,1397,1398,test,,0,کگل|1397
کگل,1398,1399,unused_no_positive_post_test,,0,کگل|1398
کگل,1399,1400,unused_no_positive_post_test,,0,کگل|1399
کگل,1400,1401,unused_no_positive_post_test,,0,کگل|1400
کگل,1401,1402,unused_no_positive_post_test,,0,کگل|1401
خاذین,1392,1393,dev,,1,خاذین|1392
خاذین,1393,1394,dev,1,0,خاذین|1393
خاذین,1394,1395,dev,2,0,خاذین|1394
خاذین,1395,1396,dev,3,0,خاذین|1395
خاذین,1396,1397,test,,0,خاذین|1396
خاذین,1397,1398,test,,0,خاذین|1397
خاذین,1398,1399,unused_no_positive_post_test,,0,خاذین|1398
خاذین,1399,1400,unused_no_positive_post_test,,0,خاذین|1399
خاذین,1400,1401,unused_no_positive_post_test,,0,خاذین|1400
خاذین,1401,1402,unused_no_positive_post_test,,0,خاذین|1401
خچرخش,1392,1393,dev,,0,خچرخش|1392
خچرخش,1393,1394,dev,1,0,خچرخش|1393
خچرخش,1394,1395,dev,2,0,خچرخش|1394
خچرخش,1395,1396,dev,3,0,خچرخش|1395
خچرخش,1396,1397,test,,0,خچرخش|1396
خچرخش,1397,1398,test,,0,خچرخش|1397
خچرخش,1398,1399,unused_no_positive_post_test,,0,خچرخش|1398
خچرخش,1399,1400,unused_no_positive_post_test,,0,خچرخش|1399
خچرخش,1400,1401,unused_no_positive_post_test,,0,خچرخش|1400
خچرخش,1401,1402,unused_no_positive_post_test,,0,خچرخش|1401
خبهمن,1393,1394,dev,1,1,خبهمن|1393
خبهمن,1394,1395,dev,2,1,خبهمن|1394
خبهمن,1395,1396,dev,3,0,خبهمن|1395
خبهمن,1396,1397,test,,0,خبهمن|1396
خبهمن,1397,1398,test,,0,خبهمن|1397
خبهمن,1398,1399,unused_no_positive_post_test,,0,خبهمن|1398
خبهمن,1399,1400,unused_no_positive_post_test,,0,خبهمن|1399
خبهمن,1400,1401,unused_no_positive_post_test,,0,خبهمن|1400
خبهمن,1401,1402,unused_no_positive_post_test,,0,خبهمن|1401
خکمک,1392,1393,dev,,1,خکمک|1392
خکمک,1393,1394,dev,1,0,خکمک|1393
خکمک,1394,1395,dev,2,0,خکمک|1394
خکمک,1395,1396,dev,3,0,خکمک|1395
خکمک,1396,1397,test,,0,خکمک|1396
خکمک,1397,1398,test,,0,خکمک|1397
خکمک,1398,1399,unused_no_positive_post_test,,0,خکمک|1398
خکمک,1399,1400,unused_no_positive_post_test,,0,خکمک|1399
خکمک,1400,1401,unused_no_positive_post_test,,0,خکمک|1400
خکمک,1401,1402,unused_no_positive_post_test,,0,خکمک|1401
خمهر,1392,1393,dev,,0,خمهر|1392
خمهر,1393,1394,dev,1,0,خمهر|1393
خمهر,1394,1395,dev,2,0,خمهر|1394
خمهر,1395,1396,dev,3,1,خمهر|1395
خمهر,1396,1397,test,,0,خمهر|1396
خمهر,1397,1398,test,,1,خمهر|1397
خمهر,1398,1399,unused_no_positive_post_test,,0,خمهر|1398
خمهر,1399,1400,unused_no_positive_post_test,,0,خمهر|1399
خمهر,1400,1401,unused_no_positive_post_test,,0,خمهر|1400
خمهر,1401,1402,unused_no_positive_post_test,,0,خمهر|1401
کهمدا,1392,1393,dev,,0,کهمدا|1392
کهمدا,1393,1394,dev,1,0,کهمدا|1393
کهمدا,1394,1395,dev,2,0,کهمدا|1394
کهمدا,1395,1396,dev,3,0,کهمدا|1395
کهمدا,1396,1397,test,,0,کهمدا|1396
کهمدا,1397,1398,test,,0,کهمدا|1397
کهمدا,1398,1399,unused_no_positive_post_test,,0,کهمدا|1398
کهمدا,1399,1400,unused_no_positive_post_test,,0,کهمدا|1399
کهمدا,1400,1401,unused_no_positive_post_test,,0,کهمدا|1400
کهمدا,1401,1402,unused_no_positive_post_test,,0,کهمدا|1401
خمحور,1392,1393,dev,,0,خمحور|1392
خمحور,1393,1394,dev,1,0,خمحور|1393
خمحور,1394,1395,dev,2,0,خمحور|1394
خمحور,1395,1396,dev,3,0,خمحور|1395
خمحور,1396,1397,test,,0,خمحور|1396
خمحور,1397,1398,test,,0,خمحور|1397
خمحور,1398,1399,unused_no_positive_post_test,,0,خمحور|1398
خمحور,1399,1400,unused_no_positive_post_test,,0,خمحور|1399
خمحور,1400,1401,unused_no_positive_post_test,,0,خمحور|1400
خمحور,1401,1402,unused_no_positive_post_test,,0,خمحور|1401
خنصیر,1392,1393,dev,,1,خنصیر|1392
خنصیر,1393,1394,dev,1,1,خنصیر|1393
خنصیر,1394,1395,dev,2,1,خنصیر|1394
خنصیر,1395,1396,dev,3,1,خنصیر|1395
خنصیر,1396,1397,test,,1,خنصیر|1396
خنصیر,1397,1398,test,,0,خنصیر|1397
خنصیر,1398,1399,unused_no_positive_post_test,,0,خنصیر|1398
خنصیر,1399,1400,unused_no_positive_post_test,,0,خنصیر|1399
خنصیر,1400,1401,unused_no_positive_post_test,,0,خنصیر|1400
خنصیر,1401,1402,unused_no_positive_post_test,,0,خنصیر|1401
خوساز,1399,1400,unused_no_positive_post_test,,0,خوساز|1399
خوساز,1400,1401,unused_no_positive_post_test,,0,خوساز|1400
خوساز,1401,1402,unused_no_positive_post_test,,0,خوساز|1401
خرینگ,1392,1393,dev,,0,خرینگ|1392
خرینگ,1393,1394,dev,1,1,خرینگ|1393
خرینگ,1394,1395,dev,2,0,خرینگ|1394
خرینگ,1395,1396,dev,3,0,خرینگ|1395
خرینگ,1396,1397,test,,0,خرینگ|1396
خرینگ,1397,1398,test,,0,خرینگ|1397
خرینگ,1398,1399,unused_no_positive_post_test,,0,خرینگ|1398
خرینگ,1399,1400,unused_no_positive_post_test,,0,خرینگ|1399
خرینگ,1400,1401,unused_no_positive_post_test,,0,خرینگ|1400
خرینگ,1401,1402,unused_no_positive_post_test,,0,خرینگ|1401
ختوقا,1395,1396,dev,3,1,ختوقا|1395
ختوقا,1396,1397,test,,1,ختوقا|1396
ختوقا,1397,1398,test,,0,ختوقا|1397
ختوقا,1398,1399,unused_no_positive_post_test,,0,ختوقا|1398
ختوقا,1399,1400,unused_no_positive_post_test,,0,ختوقا|1399
ختوقا,1400,1401,unused_no_positive_post_test,,0,ختوقا|1400
ختوقا,1401,1402,unused_no_positive_post_test,,0,ختوقا|1401
خوساز,1392,1393,dev,,0,خوساز|1392
کیمیاتک,1399,1400,unused_no_positive_post_test,,0,کیمیاتک|1399
کیمیاتک,1400,1401,unused_no_positive_post_test,,0,کیمیاتک|1400
کیمیاتک,1401,1402,unused_no_positive_post_test,,0,کیمیاتک|1401
