ticker,company_name,ticker_aliases,market,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,current_prelisting_proxy,current_first_eligible_year_proxy,admission_date_jalali,listing_date_jalali,ipo_date_jalali,first_public_trading_date_jalali,first_public_trading_date_gregorian,source_1_type,source_1_title,source_1_url,source_2_type,source_2_title,source_2_url,verification_status,conflict_status,notes
دیران,ایران دارو,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ذوب,ذوب آهن اصفهان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
رانفور,خدمات انفورماتیک,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
رمپنا,گروه مپنا (سهامی عام),,,1392,1402,0,1392,,,,,,,,,,,,pending,,
زمگسا,شرکت کشاورزی و دامپروری مگسال,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,,,1394,1402,0,1394,,,,,,,,,,,,pending,,
سآبیک,سیمان آبیک,,,1392,1402,4,1392,,,,,,,,,,,,pending,,
ساراب,سیمان داراب,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ساربیل,شرکت سیمان آرتا اردبیل,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
ساروم,شرکت سیمان ارومیه,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سبجنو,شرکت سیمان بجنورد,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سبهان,سیمان بهبهان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ستران,شرکت سیمان تهران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سخاش,شرکت سیمان خاش,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سخزر,سیمان خزر,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سخوز,سیمان خوزستان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سدشت,سیمان دشتستان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سدور,شرکت سیمان دورود,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سرود,سیمان شاهرود,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سشرق,سیمان شرق,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سصفها,شرکت سیمان اصفهان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سغرب,شرکت صنایع سیمان غرب,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سفارس,سیمان فارس و خوزستان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سقاین,سیمان قاین,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سمازن,سیمان مازندران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سنیر,شرکت سیمان سفید نی‌ریز,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
سهگمت,سیمان هگمتان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سپاها,سیمان سپاهان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سپید,شرکت سپید ماکیان,,,1397,1402,0,1397,,,,,,,,,,,,pending,,
سکرد,سیمان کردستان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
سیلام,سیمان ایلام,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
شاراک,شرکت پتروشیمی شازند,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شبریز,پالایش نفت تبریز,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شبندر,پالایش نفت بندرعباس,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شدوص,شرکت دوده صنعتی پارس,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شغدیر,شرکت پتروشیمی غدیر,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شفارس,شرکت صنایع شیمیایی فارس,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شلعاب,شرکت لعابیران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شپارس,شرکت بین‌المللی محصولات پارس,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شپنا,پالایش نفت اصفهان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شکربن,شرکت کربن ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شکلر,شرکت نیروی کلر,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
شیران,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
غبهنوش,بهنوش ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
غدام,خوراک دام پارس,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
غسالم,سالمین,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
غشان,شیر پاستوریزه پگاه خراسان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
غشهد,شهد ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
غنوش,نوش مازندران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
غگل,گلوکوزان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
فاذر,شرکت صنایع آذرآب,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فارس,شرکت صنایع پتروشیمی خلیج فارس,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فایرا,آلومینیوم ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فباهنر,صنایع مس شهید باهنر,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فجام,شرکت صنعتی جام دارو (سهامی عام),,,1393,1402,0,1393,,,,,,,,,,,,pending,,multiple company_name spellings in dataset: شرکت صنعتی جام دارو (سهامی عام) | صنعتی جام دارو
فجر,فولاد امیرکبیر کاشان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فخوز,فولاد خوزستان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فرآور,فرآوری مواد معدنی ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فسرب,ملی سرب و روی ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فسپا,گروه صنعتی سپاهان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فمراد,آلومراد,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فملی,ملی صنایع مس ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فنورد,نورد و تولید قطعات فولادی,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فولاژ,فولاد آلیاژی ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
فپنتا,صنعتی سپنتا,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
لابسا,شرکت آبسال,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
لبوتان,شرکت گروه صنعتی بوتان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
لخزر,شرکت صنعتی پارس خزر,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
لسرما,شرکت صنایع سرماآفرین ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
نوری,شرکت پتروشیمی نوری,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
های وب,داده گستر عصر نوین,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
همراه,ارتباطات سیار ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ومعادن,شرکت سرمایه گذاری توسعه معادن و فلزات (سهامی عام),,,1392,1402,0,1392,,,,,,,,,,,,pending,,multiple company_name spellings in dataset: سرمایه‌گذاری توسعه معادن و فلزات | شرکت سرمایه گذاری توسعه معادن و فلزات (سهامی عام)
وملی,سرمایه گذاری گروه صنعتی ملی,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
وکغدیر,سرمایه گذاری غدیر,,,1392,1402,6,1398,,,,,,,,,,,,pending,,
پارس,شرکت پتروشیمی پارس,,,1396,1402,0,1396,,,,,,,,,,,,pending,,
پارسان,شرکت گسترش نفت و گاز پارسیان,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
پدرخش,شرکت تولیدی و صنعتی درخشان تهران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,multiple company_name spellings in dataset: تولیدی و صنعتی درخشان تهران | شرکت تولیدی و صنعتی درخشان تهران
پرداخت,به پرداخت ملت,,,1394,1402,0,1394,,,,,,,,,,,,pending,,
پسهند,صنایع لاستیکی سهند,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
پلاسک,کارخانجات پلاسکوکار سایپا,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
پی‌پاد,پرداخت الکترونیک پاسارگاد,,,1395,1402,0,1395,,,,,,,,,,,,pending,,
چافست,شرکت افست,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
چکارن,کارتن ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
کاوه,فولاد کاوه جنوب کیش,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
کبافق,معادن بافق,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کرازی,کارخانجات تولیدی شیشه دارویی رازی,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کروی,توسعه معادن روی ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کفرا,فرآورده‌های نسوز ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کفپارس,فرآورده‌های نسوز پارس,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کهمدا,شیشه همدان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کویر,شرکت تولیدی فولاد سپید فراب کویر,,,1393,1402,4,1397,,,,,,,,,,,,pending,,
کگاز,شیشه و گاز,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کگل,معدنی و صنعتی گل گهر,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
کیمیاتک,شرکت آریان کیمیاتک,,,1399,1402,0,1399,,,,,,,,,,,,pending,,
