ticker,ticker_normalized,company_name,proposed_canonical_public_entry_date_jalali,proposed_canonical_public_entry_date_gregorian,proposed_canonical_event_type,date_precision,evidence_status,research_status,admission_date_candidate_jalali,admission_date_candidate_gregorian,listing_date_candidate_jalali,listing_date_candidate_gregorian,first_public_offering_date_candidate_jalali,first_public_offering_date_candidate_gregorian,first_public_trading_date_candidate_jalali,first_public_trading_date_candidate_gregorian,event_description,conflict_status,ready_for_user_review,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_match_status,tsetmc_selected_inscode,tsetmc_ordinary_instrument_count,tsetmc_candidate_raw_field,tsetmc_probe_retrieved_at,tsetmc_probe_raw_sha256,tsetmc_probe_notes,priority_tier,priority_rank,selection_reason,notes
بکام,بکام,شرکت کارخانجات تولیدی شهید قندی,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,1382-12-27,2004-03-17,,,,,,,پذیرش کارخانجات تولیدی شهید قندی در بورس تهران.,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:39:33Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%DA%A9%D8%A7%D9%85 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host=",E,11,no_reliable_evidence_for_public_entry,admission-only؛ proposed_canonical خالی. نیاز به evidence نخستین معامله.
تپمپی,تپمپی,گروه صنایع پمپ‌سازی ایران,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,1373-07-23,1994-10-15,,,,,,,تبدیل گروه صنایع پمپ‌سازی ایران به سهامی عام.,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:39:44Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AA%D9%BE%D9%85%D9%BE%DB%8C (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,12,no_reliable_evidence_for_public_entry,admission-only؛ proposed_canonical خالی. نیاز به evidence نخستین معامله.
درازک,درازک,لابراتوارهای رازک,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,1370-10-18,1992-01-08,,,,,,,پذیرش لابراتوارهای رازک در بورس تهران.,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:41:16Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AF%D8%B1%D8%A7%D8%B2%DA%A9 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,13,no_reliable_evidence_for_public_entry,admission-only؛ proposed_canonical خالی. نیاز به evidence نخستین معامله.
دسینا,دسینا,شرکت لابراتوارهای سینا دارو,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,1374-12-26,1996-03-16,,,,,,,پذیرش لابراتوارهای سینادارو در بورس تهران.,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:41:31Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AF%D8%B3%DB%8C%D9%86%D8%A7 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,14,no_reliable_evidence_for_public_entry,admission-only؛ proposed_canonical خالی. نیاز به evidence نخستین معامله.
دشیمی,دشیمی,شرکت شیمی دارویی داروپخش,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,1381-10-08,2002-12-29,,,,,,,پذیرش شیمی دارویی داروپخش در بورس تهران.,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:41:36Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AF%D8%B4%DB%8C%D9%85%DB%8C (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,15,no_reliable_evidence_for_public_entry,admission-only؛ proposed_canonical خالی. نیاز به evidence نخستین معامله.
بموتو,بموتو,موتوژن,,,,unknown,no_evidence,requires_manual_review,,,,,,,,,,no_candidate_researched,false,,,network_unreachable,,,dEven,2026-06-26T10:39:23Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D9%85%D9%88%D8%AA%D9%88 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,16,no_reliable_evidence_for_public_entry,No web research candidate recorded in Gate A V2; flagged for manual review.
ثشرق,ثشرق,سرمایه گذاری مسکن شمال شرق,,,,unknown,no_evidence,requires_manual_review,,,,,,,,,,no_candidate_researched,false,,,network_unreachable,,,dEven,2026-06-26T10:39:54Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AB%D8%B4%D8%B1%D9%82 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host=",E,17,no_reliable_evidence_for_public_entry,No web research candidate recorded in Gate A V2; flagged for manual review.
ثنوسا,ثنوسا,نوسازی و ساختمان تهران,,,,unknown,no_evidence,requires_manual_review,,,,,,,,,,no_candidate_researched,false,,,network_unreachable,,,dEven,2026-06-26T10:39:59Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AB%D9%86%D9%88%D8%B3%D8%A7 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,18,no_reliable_evidence_for_public_entry,No web research candidate recorded in Gate A V2; flagged for manual review.
حپترو,حپترو,حمل و نقل پتروشیمی,,,,unknown,no_evidence,requires_manual_review,,,,,,,,,,no_candidate_researched,false,,,network_unreachable,,,dEven,2026-06-26T10:40:09Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AD%D9%BE%D8%AA%D8%B1%D9%88 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,19,no_reliable_evidence_for_public_entry,No web research candidate recorded in Gate A V2; flagged for manual review.
حکشتی,حکشتی,کشتیرانی جمهوری اسلامی ایران,,,,unknown,no_evidence,requires_manual_review,,,,,,,,,,no_candidate_researched,false,,,network_unreachable,,,dEven,2026-06-26T10:40:14Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AD%DA%A9%D8%B4%D8%AA%DB%8C (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,20,no_reliable_evidence_for_public_entry,No web research candidate recorded in Gate A V2; flagged for manual review.
