ticker,company_name,ticker_aliases,market,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,current_prelisting_proxy_row_count,has_prelisting_proxy_rows,current_first_eligible_year_proxy,admission_date_jalali,listing_date_jalali,ipo_date_jalali,first_public_trading_date_jalali,first_public_trading_date_gregorian,source_1_type,source_1_title,source_1_url,source_2_type,source_2_title,source_2_url,verification_status,conflict_status,notes
ثنوسا,نوسازی و ساختمان تهران,,,1392,1402,0,0,1392,,,,1383-10-16,2005-01-05,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
جم,شرکت پتروشیمی جم,,,1393,1402,0,0,1393,,,,1394-05-18,2015-08-09,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
جم پیلن,شرکت پلی پروپیلن جم,,,1397,1402,0,0,1397,,,,1398-03-27,2019-06-17,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
حپترو,حمل و نقل پتروشیمی,,,1392,1402,0,0,1392,,,,1382-12-17,2004-03-07,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
حکشتی,کشتیرانی جمهوری اسلامی ایران,,,1392,1402,0,0,1392,,,,1387-02-29,2008-05-18,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خاذین,سایپا آذین,,,1392,1402,0,0,1392,,,,1380-08-06,2001-10-28,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خبهمن,گروه بهمن,,,1392,1402,0,0,1392,,,,1380-01-18,2001-04-07,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ختوقا,گروه صنعتی قطعات اتومبیل ایران,,,1392,1402,0,0,1392,,,,1382-09-04,2003-11-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خرینگ,رینگ سازی مشهد,,,1392,1402,0,0,1392,,,,1382-12-16,2004-03-06,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خمحور,تولید محور خودرو,,,1392,1402,0,0,1392,,,,1384-02-17,2005-05-07,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خمهر,مهرکام پارس,,,1392,1402,0,0,1392,,,,1382-12-20,2004-03-10,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خنصیر,مهندسی نصیر ماشین,,,1392,1402,0,0,1392,,,,1383-12-15,2005-03-05,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خوساز,محورسازان ایران خودرو,,,1392,1402,0,0,1392,,,,1380-01-18,2001-04-07,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خچرخش,چرخشگر,,,1392,1402,0,0,1392,,,,1380-02-18,2001-05-08,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
خکمک,کمک فنر ایندامین,,,1392,1402,0,0,1392,,,,1381-11-19,2003-02-08,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ددام,شرکت داروسازی زاگرس فارمد پارس,,,1393,1402,0,0,1393,,,,1380-01-07,2001-03-27,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
درازک,لابراتوارهای رازک,,,1393,1402,0,0,1393,,,,1380-01-05,2001-03-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
دروز,روز دارو,,,1392,1402,0,0,1392,,,,1382-12-06,2004-02-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
دسبحا,گروه دارویی سبحان,,,1392,1402,0,0,1392,,,,1381-11-15,2003-02-04,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
دسینا,شرکت لابراتوارهای سینا دارو,,,1393,1402,0,0,1393,,,,1380-01-05,2001-03-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
دشیمی,شرکت شیمی دارویی داروپخش,,,1393,1402,0,0,1393,,,,1382-05-12,2003-08-03,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
دیران,ایران دارو,,,1392,1402,0,0,1392,,,,1381-05-08,2002-07-30,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ذوب,ذوب آهن اصفهان,,,1393,1402,0,0,1393,,,,1400-10-05,2021-12-26,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
رانفور,خدمات انفورماتیک,,,1392,1402,0,0,1392,,,,1382-01-30,2003-04-19,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
رمپنا,گروه مپنا (سهامی عام),,,1392,1402,0,0,1392,,,,1386-06-04,2007-08-26,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
زمگسا,شرکت کشاورزی و دامپروری مگسال,,,1392,1402,0,0,1392,,,,1381-11-05,2003-01-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,,,1394,1402,0,0,1394,,,,1397-07-25,2018-10-17,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سآبیک,سیمان آبیک,,,1392,1402,4,1,1392,,,,1401-02-28,2022-05-18,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ساراب,سیمان داراب,,,1392,1402,0,0,1392,,,,1383-11-06,2005-01-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ساربیل,شرکت سیمان آرتا اردبیل,,,1393,1402,0,0,1393,,,,1382-12-06,2004-02-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ساروم,شرکت سیمان ارومیه,,,1393,1402,0,0,1393,,,,1380-01-05,2001-03-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سبجنو,شرکت سیمان بجنورد,,,1393,1402,0,0,1393,,,,1382-10-29,2004-01-19,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سبهان,سیمان بهبهان,,,1392,1402,0,0,1392,,,,1382-04-24,2003-07-15,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ستران,شرکت سیمان تهران,,,1393,1402,0,0,1393,,,,1380-01-05,2001-03-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سخاش,شرکت سیمان خاش,,,1393,1402,0,0,1393,,,,1382-05-04,2003-07-26,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سخزر,سیمان خزر,,,1392,1402,0,0,1392,,,,1380-01-25,2001-04-14,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سخوز,سیمان خوزستان,,,1392,1402,0,0,1392,,,,1394-01-18,2015-04-07,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سدشت,سیمان دشتستان,,,1392,1402,0,0,1392,,,,1386-04-24,2007-07-15,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سدور,شرکت سیمان دورود,,,1392,1402,0,0,1392,,,,1381-12-06,2003-02-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سرود,سیمان شاهرود,,,1392,1402,0,0,1392,,,,1382-03-17,2003-06-07,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سشرق,سیمان شرق,,,1392,1402,0,0,1392,,,,1380-01-06,2001-03-26,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سصفها,شرکت سیمان اصفهان,,,1393,1402,0,0,1393,,,,1382-09-11,2003-12-02,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سغرب,شرکت صنایع سیمان غرب,,,1393,1402,0,0,1393,,,,1380-01-21,2001-04-10,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سفارس,سیمان فارس و خوزستان,,,1392,1402,0,0,1392,,,,1380-01-05,2001-03-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سقاین,سیمان قاین,,,1392,1402,0,0,1392,,,,1380-01-25,2001-04-14,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سمازن,سیمان مازندران,,,1392,1402,0,0,1392,,,,1380-02-01,2001-04-21,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سنیر,شرکت سیمان سفید نی‌ریز,,,1393,1402,0,0,1393,,,,1386-09-06,2007-11-27,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سهگمت,سیمان هگمتان,,,1392,1402,0,0,1392,,,,1382-04-10,2003-07-01,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سپاها,سیمان سپاهان,,,1392,1402,0,0,1392,,,,1380-01-11,2001-03-31,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سپید,شرکت سپید ماکیان,,,1397,1402,0,0,1397,,,,1400-04-23,2021-07-14,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سکرد,سیمان کردستان,,,1392,1402,0,0,1392,,,,1387-05-06,2008-07-27,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
سیلام,سیمان ایلام,,,1392,1402,0,0,1392,,,,1382-09-26,2003-12-17,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شاراک,شرکت پتروشیمی شازند,,,1393,1402,0,0,1393,,,,1380-01-07,2001-03-27,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شبریز,پالایش نفت تبریز,,,1393,1402,0,0,1393,,,,1389-08-22,2010-11-13,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شبندر,پالایش نفت بندرعباس,,,1393,1402,0,0,1393,,,,1391-04-04,2012-06-24,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شدوص,شرکت دوده صنعتی پارس,,,1393,1402,0,0,1393,,,,1380-01-08,2001-03-28,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شغدیر,شرکت پتروشیمی غدیر,,,1393,1402,0,0,1393,,,,1400-02-01,2021-04-21,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شفارس,شرکت صنایع شیمیایی فارس,,,1393,1402,0,0,1393,,,,1380-02-04,2001-04-24,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شلعاب,شرکت لعابیران,,,1393,1402,0,0,1393,,,,1380-01-08,2001-03-28,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شپارس,شرکت بین‌المللی محصولات پارس,,,1393,1402,0,0,1393,,,,1382-06-11,2003-09-02,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
شپنا,پالایش نفت اصفهان,,,1393,1402,0,0,1393,,,,1387-04-09,2008-06-29,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
